name,rank,sector,industry,country,stock,market_cap
Apple ,1,Technology,Consumer Electronics,United States,AAPL,$2.866 T
Microsoft ,2,Technology,Software—Infrastructure,United States,MSFT,$2.755 T
Alphabet ,3,Communication Services,Internet Content & Information,United States,GOOG,$1.746 T
Alphabet ,4,Communication Services,Internet Content & Information,United States,GOOG,$1.746 T
Amazon ,5,Consumer Discretionary,Internet Retail,United States,AMZN,$1.534 T
Nvidia ,6,Technology,Semiconductors,United States,NVDA,$1.186 T
Meta ,7,Communication Services,Internet Content & Information,United States,META,$884.87 B
Tesla ,8,Consumer Discretionary,Auto Manufacturers,United States,TSLA,$758.09 B
Broadcom ,9,Technology,Semiconductors,United States,AVGO,$495.95 B
ASML ,10,Technology,Semiconductor Equipment & Materials,Netherlands,ASML,$297.10 B
Costco ,11,Consumer Staples,Discount Stores,United States,COST,$287.69 B
Adobe ,12,Technology,Software—Infrastructure,United States,ADBE,$260.23 B
PepsiCo ,13,Consumer Staples,Beverages—Non-Alcoholic,United States,PEP,$237.77 B
AMD ,14,Technology,Semiconductors,United States,AMD,$219.72 B
AstraZeneca ,15,Healthcare,Drug Manufacturers—General,United Kingdom,AZN,$212.31 B
Netflix ,16,Communication Services,Entertainment,United States,NFLX,$207.75 B
Cisco ,17,Technology,Communication Equipment,United States,CSCO,$205.21 B
Intel ,18,Technology,Semiconductors,United States,INTC,$198.49 B
Pinduoduo ,19,Consumer Discretionary,Internet Retail,China,PDD,$197.91 B
T-Mobile US ,20,Communication Services,Telecom Services,United States,TMUS,$187.70 B
Comcast ,21,Communication Services,Entertainment,United States,CMCSA,$174.33 B
Intuit ,22,Technology,Software—Application,United States,INTU,$165.41 B
Amgen ,23,Healthcare,Drug Manufacturers—General,United States,AMGN,$162.25 B
Qualcomm ,24,Technology,Semiconductors,United States,QCOM,$153.17 B
Texas Instruments ,25,Technology,Semiconductors,United States,TXN,$151.39 B
Honeywell ,26,Industrials,Specialty Industrial Machinery,United States,HON,$135.08 B
Applied Materials ,27,Technology,Semiconductor Equipment & Materials,United States,AMAT,$125.87 B
Booking Holdings Inc. ,28,Consumer Discretionary,Travel Services,United States,BKNG,$119.32 B
"Intuitive Surgical, Inc. ",29,Healthcare,Medical Instruments & Supplies,United States,ISRG,$113.81 B
Vertex Pharmaceuticals Incorporated ,30,Healthcare,Biotechnology,United States,VRTX,$107.23 B
Starbucks ,31,Consumer Discretionary,Restaurants,United States,SBUX,$106.34 B
"Gilead Sciences, Inc. ",32,Healthcare,Drug Manufacturers—General,United States,GILD,$105.27 B
